txn_id,outlet_code,outlet_name,city,region,txn_date,payment_method,coupon_code,discount_amt,tax_amt,total_amt,return_flag,sku,product_name,category,brand,qty,sale_price,cost_price,line_total,line_profit
5,KA-001,RetailIQ – Koramangala,Bengaluru,South,2024-02-10 17:30:00,Cash,,0.00,63.18,814.18,0,APP-K-T01,Kids Graphic Oversized Tee,Kids,H&M,2,449,150,898.00,598.00
5,KA-001,RetailIQ – Koramangala,Bengaluru,South,2024-02-10 17:30:00,Cash,,0.00,63.18,814.18,0,ACC-BELT-W1,Woven Fabric Belt W,Belts,Inc.5,1,649,200,584.10,449.00
6,TN-001,RetailIQ – T Nagar,Chennai,South,2024-02-14 14:00:00,Card,VDAY15,150.00,138.24,1782.24,0,SHOE-W-H01,Block Heel Strappy Sandal,Women Shoes,Steve Madden,1,1799,610,1799.00,1189.00
6,TN-001,RetailIQ – T Nagar,Chennai,South,2024-02-14 14:00:00,Card,VDAY15,150.00,138.24,1782.24,0,ACC-BAG-S01,Quilted Mini Sling Bag,Bags,Lavie,1,1299,460,1299.00,839.00
7,WB-001,RetailIQ – Salt Lake,Kolkata,East,2024-03-01 12:15:00,Cash,,0.00,77.94,1005.94,0,SHOE-M-L01,Burnished Leather Loafer,Men Shoes,Clarks,1,2499,840,2499.00,1659.00
8,WB-001,RetailIQ – Salt Lake,Kolkata,East,2024-03-08 11:00:00,Wallet,,0.00,95.94,1237.94,0,APP-W-J01,Indigo Denim Jacket,Women,Pepe Jeans,1,1799,650,1799.00,1149.00
8,WB-001,RetailIQ – Salt Lake,Kolkata,East,2024-03-08 11:00:00,Wallet,,0.00,95.94,1237.94,0,ACC-BELT-M1,Full-Grain Leather Belt M,Belts,Louis Philippe,1,899,300,899.00,599.00
9,DL-002,RetailIQ – Lajpat Nagar,New Delhi,North,2024-03-20 16:00:00,Card,,0.00,155.34,2002.34,0,APP-M-J01,Quilted Bomber Jacket,Men,Roadster,1,2799,980,2799.00,1819.00
10,MH-002,RetailIQ – Andheri,Mumbai,West,2024-04-05 10:30:00,Card,MAHA10,200.00,185.22,2388.22,0,APP-W-J01,Indigo Denim Jacket,Women,Pepe Jeans,1,1799,650,1619.10,1149.00
10,MH-002,RetailIQ – Andheri,Mumbai,West,2024-04-05 10:30:00,Card,MAHA10,200.00,185.22,2388.22,0,APP-W-K01,Hand-Embroidered Kurti,Women,Biba,1,1199,460,1199.00,739.00
11,KA-002,RetailIQ – Indiranagar,Bengaluru,South,2024-04-12 14:45:00,UPI,,0.00,104.22,1344.22,0,APP-W-D01,Floral Wrap Midi Dress,Women,W,1,1299,460,1299.00,839.00
12,TL-001,RetailIQ – Jubilee Hills,Hyderabad,South,2024-04-25 13:00:00,Card,,0.00,193.38,2492.38,0,ACC-SUN-M01,Polarised Aviator Sunnies M,Sunglasses,Ray-Ban,1,2899,850,2899.00,2049.00
13,GJ-001,RetailIQ – CG Road,Ahmedabad,West,2024-05-02 09:30:00,Cash,,0.00,77.94,1005.94,0,APP-K-T01,Kids Graphic Oversized Tee,Kids,H&M,2,449,150,898.00,598.00
14,UP-001,RetailIQ – Hazratganj,Lucknow,Central,2024-05-15 11:15:00,UPI,LUCK10,70.00,97.02,1250.02,0,APP-W-P01,High-Rise Palazzo Pants,Women,W,1,799,310,719.10,489.00
14,UP-001,RetailIQ – Hazratganj,Lucknow,Central,2024-05-15 11:15:00,UPI,LUCK10,70.00,97.02,1250.02,0,APP-W-K01,Hand-Embroidered Kurti,Women,Biba,1,1199,460,1199.00,739.00
15,WB-002,RetailIQ – Park Street,Kolkata,East,2024-05-28 15:30:00,Wallet,,0.00,69.66,898.66,0,APP-K-D01,Kids Denim Dungaree Set,Kids,H&M,1,899,340,899.00,559.00
16,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-06-03 12:00:00,Card,VIP20,300.00,232.50,2997.50,0,APP-M-J01,Quilted Bomber Jacket,Men,Roadster,1,2799,980,2519.10,1819.00
16,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-06-03 12:00:00,Card,VIP20,300.00,232.50,2997.50,0,ACC-SUN-M01,Polarised Aviator Sunnies M,Sunglasses,Ray-Ban,1,2899,850,2899.00,2049.00
17,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-06-10 14:30:00,Card,,0.00,143.64,1852.64,0,APP-W-J01,Indigo Denim Jacket,Women,Pepe Jeans,1,1799,650,1799.00,1149.00
18,KA-001,RetailIQ – Koramangala,Bengaluru,South,2024-06-18 11:00:00,UPI,,0.00,93.00,1199.00,0,APP-W-K01,Hand-Embroidered Kurti,Women,Biba,1,1199,460,1199.00,739.00
19,TN-001,RetailIQ – T Nagar,Chennai,South,2024-07-04 13:45:00,Cash,,0.00,77.52,999.52,0,SHOE-W-B01,Suede Ballet Flat,Women Shoes,Mochi,1,999,380,999.00,619.00
20,WB-001,RetailIQ – Salt Lake,Kolkata,East,2024-07-12 10:00:00,Card,SALE15,150.00,177.96,2294.96,0,APP-M-L01,Premium Linen Shirt,Men,Allen Solly,1,1199,420,1199.00,779.00
20,WB-001,RetailIQ – Salt Lake,Kolkata,East,2024-07-12 10:00:00,Card,SALE15,150.00,177.96,2294.96,0,ACC-SUN-W01,Cat-Eye Tinted Sunglasses W,Sunglasses,Fastrack,1,999,340,999.00,659.00
21,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-07-20 16:00:00,Card,,0.00,219.84,2834.84,0,APP-M-J01,Quilted Bomber Jacket,Men,Roadster,1,2799,980,2799.00,1819.00
22,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-08-01 11:30:00,Card,AUG20,200.00,232.50,2997.50,0,ACC-SUN-M01,Polarised Aviator Sunnies M,Sunglasses,Ray-Ban,1,2899,850,2609.10,2049.00
22,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-08-01 11:30:00,Card,AUG20,200.00,232.50,2997.50,0,ACC-BAG-L01,Vegan Leather Laptop Bag,Bags,Wildcraft,1,2199,760,2199.00,1439.00
23,KA-001,RetailIQ – Koramangala,Bengaluru,South,2024-08-15 14:00:00,UPI,,0.00,109.26,1409.26,0,APP-W-D01,Floral Wrap Midi Dress,Women,W,1,1299,460,1299.00,839.00
24,KA-002,RetailIQ – Indiranagar,Bengaluru,South,2024-09-05 10:30:00,Cash,,0.00,77.52,999.52,0,SHOE-W-B01,Suede Ballet Flat,Women Shoes,Mochi,1,999,380,999.00,619.00
25,TL-001,RetailIQ – Jubilee Hills,Hyderabad,South,2024-09-18 13:00:00,Card,,0.00,193.38,2492.38,0,SHOE-M-L01,Burnished Leather Loafer,Men Shoes,Clarks,1,2499,840,2499.00,1659.00
26,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-10-10 11:00:00,Card,FEST15,300.00,348.00,4487.00,0,APP-M-J01,Quilted Bomber Jacket,Men,Roadster,1,2799,980,2519.10,1819.00
26,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-10-10 11:00:00,Card,FEST15,300.00,348.00,4487.00,0,ACC-SUN-M01,Polarised Aviator Sunnies M,Sunglasses,Ray-Ban,1,2899,850,2609.10,2049.00
26,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-10-10 11:00:00,Card,FEST15,300.00,348.00,4487.00,0,ACC-BAG-C01,Large Canvas Tote,Bags,Caprese,1,1599,610,1439.10,989.00
27,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-10-25 15:30:00,Card,FEST10,200.00,278.16,3586.16,0,APP-W-J01,Indigo Denim Jacket,Women,Pepe Jeans,1,1799,650,1619.10,1149.00
27,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-10-25 15:30:00,Card,FEST10,200.00,278.16,3586.16,0,ACC-BAG-S01,Quilted Mini Sling Bag,Bags,Lavie,1,1299,460,1299.00,839.00
27,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-10-25 15:30:00,Card,FEST10,200.00,278.16,3586.16,0,ACC-BAG-L01,Vegan Leather Laptop Bag,Bags,Wildcraft,1,2199,760,1979.10,1439.00
28,KA-001,RetailIQ – Koramangala,Bengaluru,South,2024-11-05 10:00:00,UPI,DIWALI20,400.00,348.00,4488.00,0,APP-M-J01,Quilted Bomber Jacket,Men,Roadster,1,2799,980,2239.20,1819.00
28,KA-001,RetailIQ – Koramangala,Bengaluru,South,2024-11-05 10:00:00,UPI,DIWALI20,400.00,348.00,4488.00,0,APP-M-S01,Slim Fit Oxford Shirt,Men,Urbano,2,999,380,1998.00,1238.00
28,KA-001,RetailIQ – Koramangala,Bengaluru,South,2024-11-05 10:00:00,UPI,DIWALI20,400.00,348.00,4488.00,0,APP-W-K01,Hand-Embroidered Kurti,Women,Biba,2,1199,460,2398.00,1478.00
29,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-11-20 13:00:00,Card,,0.00,155.34,2002.34,0,APP-M-S01,Slim Fit Oxford Shirt,Men,Urbano,1,999,380,999.00,619.00
29,DL-001,RetailIQ – Connaught Place,New Delhi,North,2024-11-20 13:00:00,Card,,0.00,155.34,2002.34,0,APP-M-C01,Stretch Comfort Chinos,Men,Urbano,1,1499,540,1499.00,959.00
30,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-12-15 14:00:00,Card,XMAS10,200.00,278.16,3586.16,0,APP-M-J01,Quilted Bomber Jacket,Men,Roadster,1,2799,980,2519.10,1819.00
30,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-12-15 14:00:00,Card,XMAS10,200.00,278.16,3586.16,0,ACC-SUN-M01,Polarised Aviator Sunnies M,Sunglasses,Ray-Ban,1,2899,850,2609.10,2049.00
30,MH-001,RetailIQ – Bandra West,Mumbai,West,2024-12-15 14:00:00,Card,XMAS10,200.00,278.16,3586.16,0,ACC-BAG-L01,Vegan Leather Laptop Bag,Bags,Wildcraft,1,2199,760,2199.00,1439.00
